# [Initialization Information]
# Instance: TSP|Tnm1000.tsp
# Swarm Params: N=300 Nact=-1 Topology=FullConnect Solver=STD_PRB_3Opt_REAX+SEAX:isAlpha=true
# Terminate Condition: T=500 Tcon=100
# Misc Params: DUP_TIMES=10000 Tout=10
# 
# Topology: maosKernel.behavior.topology.FullConnectTopology|FullConnect
# R_T(AbsStateUpdater): maosKernel.behavior.update.BetterStateUpdater|R_T
# R_INI(AbsScratchSearch): maosKernel.behavior.scratch.LinkedScratchSearch|R_INI(scratchSearch=implement.TSP.behavior.construct.ReverseProbConstructor|R_SS(neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))),incumbentSearch=implement.TSP.behavior.greedy.Basic3OPT|R_LS(bit_Ratio=0.0,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))))
# R_G(AbsMiniGenerator): maosKernel.behavior.generate.Switch2MGenerator|R_G(nScaleA=1.0,nScaleB=1.0,GeneratorA=maosKernel.behavior.generate.MiniSBILXGenerator|R_G1(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.RandEAXRecombinator|R_XS1(Cd=1.0,Nmtm=20,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)),GeneratorB=maosKernel.behavior.generate.MiniSBILXGenerator|R_G2(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.SortEAXRecombinator|R_XS2(Cd=1.0,Nmtm=10,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)))
# 
# [Runtime Information]
# EvalV/Time@NCycle
18150101/1.193157826 	18139033/1.507483343 	18138384/1.613156502 	18138377/1.683210555 	18138377/1.733419102 	18138377/1.782202259 	18138377/1.830170595 	18138377/1.874368927 	18138377/1.916920733 	18138377/1.971222423 	18138377/2.013421979 	18138377/2.061799797 	18138377/2.105120925 	| 	18138377/1.620169987@21
18137400/16.810007647 	18137400/16.891131421 	18137400/16.95985631 	18137400/17.024575371 	18137400/17.071697156 	18137400/17.116436466 	18137400/17.159172995 	18137400/17.202384606 	18137400/17.245059073 	18137400/17.287281493 	18137400/17.329485661 	| 	18137400/4.429443512@13
18137400/18.171317928 	18137400/18.263313457 	18137400/18.352099942 	18137400/18.418836698 	18137400/18.474051226 	18137400/18.524188473 	18137400/18.573408879 	18137400/18.620372525 	18137400/18.666810466 	18137400/18.712863632 	18137400/18.758262559 	| 	18137400/4.429443512@13
18137400/19.608315358 	18137400/19.690214903 	18137400/19.759694349 	18137400/19.812638125 	18137400/19.86079388 	18137400/19.907149279 	18137400/19.952875246 	18137400/20.000021452 	18137400/20.044235302 	18137400/20.086701605 	18137400/20.126911657 	18137400/20.165678375 	| 	18137400/4.429443512@13
18137400/20.986230085 	18137400/21.062263047 	18137400/21.131858813 	18137400/21.179961624 	18137400/21.227161796 	18137400/21.272298444 	18137400/21.31620931 	18137400/21.360710654 	18137400/21.403605078 	18137400/21.447103515 	18137400/21.489258378 	18137400/21.533558601 	| 	18137400/4.429443512@13
18137400/22.349387998 	18137400/22.421771276 	18137400/22.479945495 	18137400/22.524196535 	18137400/22.565026941 	18137400/22.605352411 	18137400/22.642589862 	18137400/22.678047389 	18137400/22.71365194 	18137400/22.750065243 	18137400/22.785114171 	| 	18137400/4.429443512@13
18137400/23.601877876 	18137400/23.679495134 	18137400/23.749036073 	18137400/23.803659749 	18137400/23.850164558 	18137400/23.895771431 	18137400/23.940952227 	18137400/23.986432925 	18137400/24.035516185 	18137400/24.082039479 	18137400/24.128595515 	18137400/24.175084535 	18137400/24.220696531 	18137400/24.266156567 	18137400/24.311458464 	18137400/24.356319792 	18137400/24.401305112 	| 	18137400/4.429443512@13
18137400/25.318715457 	18137400/25.411197718 	18137400/25.495339959 	18137400/25.561567706 	18137400/25.615294813 	18137400/25.664466424 	18137400/25.715339255 	18137400/25.765236038 	18137400/25.814527242 	18137400/25.864198413 	18137400/25.911479529 	18137400/25.957487227 	| 	18137400/4.429443512@13
18137400/26.882021157 	18137400/26.967293254 	18137400/27.037112821 	18137400/27.098185437 	18137400/27.14491662 	18137400/27.192003732 	18137400/27.238317547 	18137400/27.285818376 	18137400/27.331639265 	18137400/27.37647491 	18137400/27.420222725 	18137400/27.461856156 	| 	18137400/4.429443512@13
18137400/28.355812448 	18137400/28.452293532 	18137400/28.556411145 	18137400/28.640068978 	18137400/28.718829711 	18137400/28.797005837 	18137400/28.87224058 	18137400/28.942981089 	18137400/29.008617354 	18137400/29.067383462 	18137400/29.122317826 	18137400/29.17644071 	18137400/29.230028478 	| 	18137400/4.429443512@13
18137400/30.122697305 	18137400/30.214222179 	18137400/30.323843319 	18137400/30.422718877 	18137400/30.511852161 	18137400/30.598963801 	18137400/30.685829198 	18137400/30.756048358 	18137400/30.818453173 	18137400/30.875033402 	18137400/30.928961637 	18137400/30.980013426 	18137400/31.029449643 	18137400/31.076508084 	18137400/31.121351413 	| 	18137400/4.429443512@13
18137400/32.033495557 	18137400/32.117550645 	18137400/32.18521976 	18137400/32.237602863 	18137400/32.288569379 	18137400/32.338216571 	18137400/32.38495745 	18137400/32.43467731 	18137400/32.482602551 	18137400/32.529769006 	18137400/32.577872538 	| 	18137400/4.429443512@13
18137400/33.505503134 	18137400/33.59103628 	18137400/33.659952949 	18137400/33.715811771 	18137400/33.761605036 	18137400/33.806480141 	18137400/33.851210445 	18137400/33.894980207 	18137400/33.939954564 	18137400/33.985535371 	18137400/34.028512789 	18137400/34.071199651 	| 	18137400/4.429443512@13
18137400/34.958302878 	18137400/35.042593698 	18137400/35.11183195 	18137400/35.163745951 	18137400/35.21301258 	18137400/35.262110394 	18137400/35.31010431 	18137400/35.356792409 	18137400/35.403746532 	18137400/35.450166332 	18137400/35.498425358 	| 	18137400/4.429443512@13
18137400/36.421865121 	18137400/36.509468897 	18137400/36.579655384 	18137400/36.632831748 	18137400/36.682385146 	18137400/36.730049087 	18137400/36.777396848 	18137400/36.823296868 	18137400/36.869267542 	18137400/36.91453328 	18137400/36.960101013 	18137400/37.004517982 	| 	18137400/4.429443512@13
18137400/37.915523308 	18137400/38.01029175 	18137400/38.093746795 	18137400/38.16495529 	18137400/38.230481905 	18137400/38.291236989 	18137400/38.349012095 	18137400/38.401930194 	18137400/38.455363971 	18137400/38.509428674 	18137400/38.562910771 	18137400/38.614184577 	| 	18137400/4.429443512@13
18137400/39.496249538 	18137400/39.597664583 	18137400/39.69460638 	18137400/39.778555522 	18137400/39.853165457 	18137400/39.925261314 	18137400/39.992940103 	18137400/40.058711082 	18137400/40.123565359 	18137400/40.187415129 	18137400/40.250421632 	18137400/40.315136892 	| 	18137400/4.429443512@13
18137400/41.243067356 	18137400/41.346990535 	18137400/41.435481407 	18137400/41.509833571 	18137400/41.580710916 	18137400/41.651124153 	18137400/41.720217053 	18137400/41.78696229 	18137400/41.850366521 	18137400/41.909781603 	18137400/41.96949063 	| 	18137400/4.429443512@13
18137400/42.903347448 	18137400/42.984652485 	18137400/43.051530196 	18137400/43.103417766 	18137400/43.155406143 	18137400/43.204778939 	18137400/43.252881234 	18137400/43.30082184 	18137400/43.348519165 	18137400/43.394140806 	18137400/43.438932911 	18137400/43.483496748 	| 	18137400/4.429443512@13
18137400/44.381925964 	18137400/44.477443824 	18137400/44.573205979 	18137400/44.651944982 	18137400/44.721509446 	18137400/44.786389939 	18137400/44.850156306 	18137400/44.912414828 	18137400/44.975096014 	18137400/45.033663241 	18137400/45.091717848 	| 	18137400/4.429443512@13
18137400/46.020057281 	18137400/46.111728155 	18137400/46.190912645 	18137400/46.249992524 	18137400/46.303560644 	18137400/46.358843035 	18137400/46.411174137 	18137400/46.46278386 	18137400/46.513456179 	18137400/46.562524361 	18137400/46.611561126 	| 	18137400/4.429443512@13
18137400/47.544654581 	18137400/47.631511471 	18137400/47.715108389 	18137400/47.788634778 	18137400/47.853483289 	18137400/47.91653024 	18137400/47.978985498 	18137400/48.041857902 	18137400/48.104659663 	18137400/48.165990611 	18137400/48.225835968 	18137400/48.290116188 	| 	18137400/4.429443512@13
18137400/49.194978048 	18137400/49.280785278 	18137400/49.363712516 	18137400/49.424623885 	18137400/49.483634005 	18137400/49.539496108 	18137400/49.595245975 	18137400/49.649922042 	18137400/49.704096564 	18137400/49.759717945 	18137400/49.813364518 	18137400/49.864974455 	18137400/49.91714589 	| 	18137400/4.429443512@13
18137400/50.838851121 	18137400/50.948983675 	18137400/51.081639983 	18137400/51.206527716 	18137400/51.327292886 	18137400/51.447902655 	18137400/51.565529838 	18137400/51.679273016 	18137400/51.788957995 	18137400/51.890653081 	18137400/51.985387807 	| 	18137400/4.429443512@13
18137400/52.926531824 	18137400/53.01646376 	18137400/53.102020161 	18137400/53.166482133 	18137400/53.222978859 	18137400/53.276406905 	18137400/53.326990592 	18137400/53.372483155 	18137400/53.41599713 	18137400/53.458401315 	18137400/53.499171492 	| 	18137400/4.429443512@13
18137400/54.385435749 	18137400/54.468426899 	18137400/54.540038807 	18137400/54.609444813 	18137400/54.682380555 	18137400/54.741014836 	18137400/54.78909509 	18137400/54.834252902 	18137400/54.874579143 	18137400/54.912405214 	18137400/54.948703978 	18137400/54.984777869 	18137400/55.021928281 	18137400/55.05913504 	| 	18137400/4.429443512@13
18137400/55.967954017 	18137400/56.064167999 	18137400/56.160879052 	18137400/56.250732686 	18137400/56.322447491 	18137400/56.386836105 	18137400/56.4418502 	18137400/56.492074765 	18137400/56.539966759 	18137400/56.586886268 	18137400/56.631855137 	18137400/56.67747776 	| 	18137400/4.429443512@13
18137400/57.606586767 	18137400/57.702200493 	18137400/57.781219654 	18137400/57.854003407 	18137400/57.917656464 	18137400/57.976639854 	18137400/58.036400336 	18137400/58.095801414 	18137400/58.154727628 	18137400/58.213016313 	18137400/58.270519852 	18137400/58.327849701 	| 	18137400/4.429443512@13
18137400/59.230703864 	18137400/59.333491252 	18137400/59.443824861 	18137400/59.529942493 	18137400/59.603961607 	18137400/59.669113155 	18137400/59.730773035 	18137400/59.787976504 	18137400/59.841036381 	18137400/59.8904142 	18137400/59.939630936 	| 	18137400/4.429443512@13
18137400/60.875128638 	18137400/60.966061084 	18137400/61.042082212 	18137400/61.102473276 	18137400/61.158331219 	18137400/61.214679101 	18137400/61.264241032 	18137400/61.311152887 	18137400/61.358612155 	18137400/61.404177846 	18137400/61.449752926 	18137400/61.494814035 	| 	18137400/4.429443512@13
18137400/62.428224502 	18137400/62.517764371 	18137400/62.592402854 	18137400/62.652457882 	18137400/62.704859519 	18137400/62.755092811 	18137400/62.801636708 	18137400/62.846833233 	18137400/62.888680396 	18137400/62.930030819 	18137400/62.970328304 	18137400/63.009619072 	| 	18137400/4.429443512@13
18137400/63.979133991 	18137400/64.074523337 	18137400/64.159700504 	18137400/64.236729182 	18137400/64.305582629 	18137400/64.370634008 	18137400/64.43255961 	18137400/64.490083866 	18137400/64.54814534 	18137400/64.601865969 	18137400/64.654386902 	18137400/64.705524586 	18137400/64.754620637 	| 	18137400/4.429443512@13
18137400/65.682223833 	18137400/65.772050761 	18137400/65.845497145 	18137400/65.90366242 	18137400/65.957198872 	18137400/66.008175674 	18137400/66.059770162 	18137400/66.110137517 	18137400/66.159590816 	18137400/66.207483749 	18137400/66.252769217 	| 	18137400/4.429443512@13
18137400/67.189518718 	18137400/67.285667197 	18137400/67.385685861 	18137400/67.46604529 	18137400/67.529686781 	18137400/67.588117107 	18137400/67.642125009 	18137400/67.695027809 	18137400/67.744216482 	18137400/67.794920263 	18137400/67.846605666 	18137400/67.898713578 	| 	18137400/4.429443512@13
18137400/68.821583987 	18137400/68.901950728 	18137400/68.971848363 	18137400/69.021482573 	18137400/69.067115333 	18137400/69.113329362 	18137400/69.160520927 	18137400/69.207091451 	18137400/69.253623599 	18137400/69.299822528 	18137400/69.346124617 	18137400/69.393721512 	| 	18137400/4.429443512@13
18137400/70.282621987 	18137400/70.376526816 	18137400/70.47126555 	18137400/70.547745056 	18137400/70.614080667 	18137400/70.675928291 	18137400/70.735828866 	18137400/70.791726135 	18137400/70.852845523 	18137400/70.90978947 	18137400/70.962698543 	| 	18137400/4.429443512@13
18137400/71.905087869 	18137400/71.996052168 	18137400/72.081904923 	18137400/72.148372004 	18137400/72.211668302 	18137400/72.269259492 	18137400/72.323674885 	18137400/72.376295269 	18137400/72.428498619 	18137400/72.47910513 	18137400/72.528165337 	| 	18137400/4.429443512@13
18137400/73.444081587 	18137400/73.530133324 	18137400/73.609988324 	18137400/73.671602745 	18137400/73.730117947 	18137400/73.788116485 	18137400/73.844945469 	18137400/73.900559263 	18137400/73.953347965 	18137400/74.004295125 	18137400/74.054937956 	18137400/74.103777977 	| 	18137400/4.429443512@13
18137400/74.997163847 	18137400/75.093221221 	18137400/75.193853354 	18137400/75.27260734 	18137400/75.347599369 	18137400/75.417914757 	18137400/75.481581675 	18137400/75.542815152 	18137400/75.601758459 	18137400/75.657784657 	18137400/75.710817192 	18137400/75.763563996 	| 	18137400/4.429443512@13
18137400/76.670016088 	18137400/76.753498171 	18137400/76.821774142 	18137400/76.87354506 	18137400/76.920861764 	18137400/76.968164409 	18137400/77.016519485 	18137400/77.062854803 	18137400/77.109290908 	18137400/77.155824579 	18137400/77.20199396 	18137400/77.24680021 	| 	18137400/4.429443512@13
18137400/78.132391778 	18137400/78.220384413 	18137400/78.2942897 	18137400/78.34961069 	18137400/78.405179198 	18137400/78.456276202 	18137400/78.507094741 	18137400/78.557251799 	18137400/78.60663357 	18137400/78.655426954 	18137400/78.702661881 	| 	18137400/4.429443512@13
18137400/79.632877842 	18137400/79.7256173 	18137400/79.831228847 	18137400/79.930698068 	18137400/80.02204568 	18137400/80.103363147 	18137400/80.17934756 	18137400/80.25479551 	18137400/80.325534878 	18137400/80.394169639 	18137400/80.46152944 	18137400/80.527746107 	18137400/80.59190458 	18137400/80.653834303 	18137400/80.714963823 	18137400/80.773044699 	| 	18137400/4.429443512@13
18137400/81.702237122 	18137400/81.795640968 	18137400/81.877482989 	18137400/81.95435095 	18137400/82.018527608 	18137400/82.078180276 	18137400/82.135747398 	18137400/82.190636869 	18137400/82.245456653 	18137400/82.297447261 	18137400/82.348472068 	18137400/82.397121466 	18137400/82.443475717 	18137400/82.491875052 	| 	18137400/4.429443512@13
